Baldwin County, AL	16	203709
Jefferson County, AL	101	660367
Mobile County, AL	23	415395
Shelby County, AL	11	208713
Anchorage Borough, AK	20	298695
Matanuska-Susitna Borough, AK	10	101095
Cochise County, AZ	15	126427
Maricopa County, AZ	153	4167947
Mohave County, AZ	17	204737
Pima County, AZ	97	1010025
Pinal County, AZ	18	406584
Alameda County, CA	53	1638215
Butte County, CA	14	225411
Contra Costa County, CA	26	1126745
Fresno County, CA	22	974861
Humboldt County, CA	15	135727
Imperial County, CA	11	180191
Kern County, CA	44	882176
Lake County, CA	11	64591
Los Angeles County, CA	230	10170292
Monterey County, CA	11	433898
Orange County, CA	58	3169776
Placer County, CA	11	375391
Riverside County, CA	91	2361026
Sacramento County, CA	35	1501335
San Bernardino County, CA	16	2128133
San Diego County, CA	71	3299521
San Francisco County, CA	64	864816
San Joaquin County, CA	17	726106
San Luis Obispo County, CA	22	281401
San Mateo County, CA	16	765135
Santa Barbara County, CA	14	444769
Santa Clara County, CA	15	1918044
Santa Cruz County, CA	15	274146
Solano County, CA	12	436092
Sonoma County, CA	17	502146
Stanislaus County, CA	16	538388
Tulare County, CA	11	459863
Tuolumne County, CA	15	53709
Ventura County, CA	24	850536
Yolo County, CA	10	213016
Adams County, CO	38	491337
Arapahoe County, CO	27	631096
Boulder County, CO	17	319372
Denver County, CO	44	682545
El Paso County, CO	48	674471
Jefferson County, CO	31	565524
Larimer County, CO	25	333577
Pueblo County, CO	23	163591
Weld County, CO	15	285174
Fairfield County, CT	64	948053
Hartford County, CT	115	895841
Litchfield County, CT	37	183603
Middlesex County, CT	24	164063
New Haven County, CT	88	859470
New London County, CT	47	271863
Tolland County, CT	13	151420
Windham County, CT	21	116573
Kent County, DE	23	173533
New Castle County, DE	59	556779
Sussex County, DE	27	215622
District of Columbia, DC	92	672228
Alachua County, FL	10	259964
Bay County, FL	12	181635
Brevard County, FL	41	568088
Broward County, FL	78	1896425
Clay County, FL	17	203967
Collier County, FL	31	357305
Duval County, FL	83	913010
Escambia County, FL	21	311003
Hernando County, FL	13	178439
Hillsborough County, FL	52	1349050
Lee County, FL	54	701982
Manatee County, FL	95	363369
Marion County, FL	18	343254
Miami-Dade County, FL	107	2693117
Okaloosa County, FL	15	198664
Orange County, FL	127	1288126
Osceola County, FL	29	323993
Palm Beach County, FL	110	1422789
Pasco County, FL	36	497909
