State Abbreviation	Part D Prescribers	Part D Opioid Prescribers	Opioid Claims	Extended Release Opioid Claims	Overall Claims	Opioid Prescribing Rate	Extended Release Opioid Prescribing Rate
AL	"13,100"	"7,429"	"2,267,090"	"118,705"	"28,852,731"	7.86	5.24
AK	"2,293"	"1,098"	"93,606"	"9,768"	"1,384,451"	6.76	10.44
AZ	"21,253"	"10,837"	"1,639,782"	"160,343"	"23,454,968"	6.99	9.78
AR	"8,010"	"4,767"	"1,147,588"	"59,339"	"17,302,231"	6.63	5.17
CA	"111,395"	"50,565"	"7,341,527"	"497,013"	"134,384,068"	5.46	6.77
CO	"18,116"	"9,257"	"1,158,348"	"94,317"	"15,687,094"	7.38	8.14
CT	"16,506"	"6,471"	"687,547"	"39,326"	"15,278,979"	4.5	5.72
DE	"3,270"	"1,578"	"236,966"	"22,771"	"3,633,781"	6.52	9.61
DC	"4,503"	"1,411"	"85,536"	"3,291"	"1,975,871"	4.33	3.85
FL	"63,155"	"28,567"	"5,447,999"	"411,621"	"103,503,755"	5.26	7.56
GA	"26,471"	"13,485"	"2,763,178"	"154,065"	"43,784,129"	6.31	5.58
HI	"4,070"	"1,669"	"169,043"	"13,896"	"4,405,441"	3.84	8.22
ID	"4,877"	"2,732"	"444,560"	"38,307"	"5,747,660"	7.73	8.62
IL	"43,078"	"18,502"	"2,398,636"	"84,990"	"49,327,707"	4.86	3.54
IN	"19,897"	"10,647"	"2,099,838"	"134,728"	"31,639,305"	6.64	6.42
IA	"10,064"	"4,941"	"798,064"	"38,338"	"16,511,701"	4.83	4.8
KS	"9,374"	"4,964"	"874,402"	"53,951"	"13,749,117"	6.36	6.17
KY	"14,677"	"6,821"	"1,750,550"	"76,907"	"29,148,186"	6.01	4.39
LA	"15,217"	"7,837"	"1,566,429"	"69,736"	"25,210,469"	6.21	4.45
ME	"5,885"	"3,109"	"427,909"	"34,624"	"6,866,323"	6.23	8.09
MD	"21,535"	"9,076"	"1,035,891"	"87,394"	"17,032,592"	6.08	8.44
MA	"33,379"	"13,610"	"1,356,186"	"95,764"	"30,887,045"	4.39	7.06
MI	"38,696"	"19,735"	"3,425,448"	"218,604"	"46,424,478"	7.38	6.38
MN	"20,272"	"9,754"	"1,104,474"	"56,110"	"20,745,962"	5.32	5.08
MS	"8,420"	"4,795"	"1,092,107"	"41,766"	"17,508,059"	6.24	3.82
MO	"20,200"	"10,016"	"2,097,931"	"111,184"	"34,719,914"	6.04	5.3
MT	"3,484"	"1,907"	"266,285"	"19,172"	"3,940,215"	6.76	7.2
NE	"6,491"	"3,209"	"458,491"	"22,035"	"9,133,012"	5.02	4.81
NV	"6,971"	"3,763"	"693,911"	"72,510"	"8,711,501"	7.97	10.45
NH	"5,543"	"2,688"	"304,997"	"28,169"	"5,012,266"	6.09	9.24
NJ	"30,025"	"12,574"	"1,480,126"	"72,975"	"34,487,869"	4.29	4.93
NM	"6,870"	"3,302"	"451,302"	"29,725"	"6,913,692"	6.53	6.59
NY	"86,814"	"29,096"	"2,800,496"	"165,199"	"93,020,253"	3.01	5.9
NC	"32,599"	"17,779"	"3,285,075"	"217,035"	"52,260,758"	6.29	6.61
ND	"2,726"	"1,384"	"166,071"	"7,952"	"3,560,066"	4.66	4.79
OH	"41,663"	"20,479"	"3,428,041"	"166,439"	"60,731,399"	5.64	4.86
OK	"11,283"	"6,204"	"1,291,247"	"87,834"	"17,035,559"	7.58	6.8
OR	"15,096"	"7,981"	"1,235,479"	"128,684"	"16,426,334"	7.52	10.42
PA	"53,490"	"23,712"	"3,615,392"	"220,286"	"71,870,231"	5.03	6.09
RI	"4,690"	"2,095"	"243,603"	"9,343"	"6,229,455"	3.91	3.84
SC	"14,142"	"7,968"	"1,577,730"	"74,576"	"24,651,558"	6.4	4.73
SD	"3,088"	"1,602"	"212,093"	"10,447"	"4,054,596"	5.23	4.93
TN	"23,034"	"12,802"	"2,934,226"	"253,943"	"39,982,186"	7.34	8.65
TX	"66,920"	"32,212"	"5,220,348"	"210,315"	"87,448,038"	5.97	4.03
UT	"7,980"	"3,901"	"544,356"	"45,708"	"6,976,992"	7.8	8.4
VT	"2,550"	"1,209"	"152,713"	"16,013"	"2,566,480"	5.95	10.49
VA	"24,844"	"12,102"	"1,743,661"	"91,487"	"29,802,837"	5.85	5.25
WA	"24,599"	"12,387"	"1,636,257"	"165,949"	"23,098,608"	7.08	10.14
WV	"6,892"	"3,444"	"800,927"	"33,840"	"12,605,455"	6.35	4.23
WI	"20,148"	"10,314"	"1,488,614"	"111,029"	"25,014,906"	5.95	7.46
WY	"1,717"	878	"103,544"	"6,548"	"1,674,596"	6.18	6.32
